frame_number,timestamp,raw_points_count,stable_points_count,display_points_count,raw_min_snr,raw_max_snr,raw_mean_snr,display_min_x,display_max_x,display_mean_x,display_min_y,display_max_y,display_mean_y,display_min_z,display_max_z,display_mean_z,display_min_doppler,display_max_doppler,display_mean_doppler,target_count,active_target_ids,presence
583,2026-05-29 16:14:38.915,73,370,92,0.0,1938.760009765625,223.53973388671875,-1.073900818824768,1.5056507587432861,-0.0021691725123673677,0.5369000434875488,1.7187596559524536,1.0849530696868896,0.20083852112293243,1.0131338834762573,0.7596579194068909,0.0,0.34804001450538635,0.019670002162456512,0,,1
584,2026-05-29 16:14:39.067,78,367,89,0.0,1949.3599853515625,227.05335998535156,-0.9754813313484192,1.5056507587432861,-0.04269877448678017,0.5369000434875488,1.7187596559524536,1.0879756212234497,0.20083852112293243,1.0131338834762573,0.7579272985458374,0.0,0.34804001450538635,0.016422472894191742,0,,1
585,2026-05-29 16:14:39.069,74,354,82,8.760000228881836,2069.239990234375,294.12432861328125,-1.0822548866271973,1.5056507587432861,-0.04834291338920593,0.5369000434875488,1.7187596559524536,1.0588172674179077,0.22914990782737732,1.0131338834762573,0.785116970539093,0.0,0.34804001450538635,0.004244390409439802,0,,1
586,2026-05-29 16:14:39.072,77,338,76,6.119999885559082,2423.119873046875,230.4420928955078,-1.0822548866271973,0.8229060769081116,-0.08556057512760162,0.5369000434875488,1.7068607807159424,1.0291497707366943,0.23008236289024353,0.9898074865341187,0.7754491567611694,0.0,0.0,0.0,0,,1
587,2026-05-29 16:14:39.241,84,341,77,0.0,2366.0,185.1985626220703,-1.0822548866271973,0.7758744955062866,-0.061176806688308716,0.5369000434875488,1.6919034719467163,0.9952540993690491,0.23008236289024353,0.9898074865341187,0.7593699097633362,0.0,0.0,0.0,0,,1
588,2026-05-29 16:14:39.242,74,333,72,0.0,2138.760009765625,234.93568420410156,-1.0822548866271973,0.7758744955062866,-0.03226767107844353,0.5369000434875488,1.290389895439148,0.9565097093582153,0.23008236289024353,0.9898074865341187,0.7924820184707642,0.0,0.0,0.0,0,,1
589,2026-05-29 16:14:39.245,72,330,76,8.760000228881836,2551.760009765625,253.56890869140625,-1.0822548866271973,1.337300419807434,0.03698591887950897,0.4037459194660187,1.290389895439148,0.9304507374763489,0.23008236289024353,0.9898074865341187,0.7824003100395203,0.0,0.0,0.0,0,,1
590,2026-05-29 16:14:39.395,68,327,73,8.519999504089355,1783.1199951171875,235.7082061767578,-0.9856957793235779,1.3525384664535522,0.07383269816637039,0.4037459194660187,1.290389895439148,0.9224725961685181,0.23008236289024353,0.9898074865341187,0.7919601202011108,0.0,0.0,0.0,0,,1
591,2026-05-29 16:14:39.397,73,318,68,0.0,2006.239990234375,227.517822265625,-1.1046898365020752,1.3525384664535522,0.005909379106014967,0.41450607776641846,1.2952214479446411,0.9440298676490784,0.23008236289024353,0.9898074865341187,0.8408509492874146,0.0,0.0,0.0,0,,1
592,2026-05-29 16:14:39.399,87,322,66,8.519999504089355,2317.35986328125,215.6276092529297,-1.1046898365020752,1.4879218339920044,0.01736435294151306,0.41450607776641846,1.2952214479446411,0.9417884945869446,0.23008236289024353,0.9898074865341187,0.8653503656387329,0.0,0.0,0.0,0,,1
593,2026-05-29 16:14:39.553,81,324,64,8.519999504089355,2228.760009765625,230.1624755859375,-1.1046898365020752,1.5895006656646729,0.060666657984256744,0.41450607776641846,1.2952214479446411,0.9248642325401306,0.23008236289024353,0.9898074865341187,0.8559767007827759,0.0,0.0,0.0,0,,1
594,2026-05-29 16:14:39.554,73,315,56,0.0,1399.8800048828125,224.59999084472656,-1.1046898365020752,1.5895006656646729,0.07150214165449142,0.46109071373939514,1.2952214479446411,0.9287595748901367,0.23008236289024353,0.9898074865341187,0.8603273034095764,0.0,0.0,0.0,0,,1
595,2026-05-29 16:14:39.710,79,322,58,8.880000114440918,1353.760009765625,191.03038024902344,-1.1046898365020752,1.5895006656646729,0.06265116482973099,0.4701155722141266,1.2952214479446411,0.9509457945823669,0.23008236289024353,0.9898074865341187,0.8515772819519043,0.0,0.0,0.0,0,,1
596,2026-05-29 16:14:39.711,83,348,56,6.0,2119.239990234375,246.2655487060547,-1.005827784538269,1.4879218339920044,0.05494045466184616,0.4701155722141266,1.4862691164016724,0.9689318537712097,0.23008236289024353,0.9898074865341187,0.8066503405570984,-0.2088800072669983,0.0,-0.007460000459104776,0,,1
597,2026-05-29 16:14:39.712,83,348,56,6.119999885559082,2272.639892578125,203.08241271972656,-1.005827784538269,1.1197417974472046,0.06557508558034897,0.5369000434875488,1.4862691164016724,0.981541097164154,0.23008236289024353,0.9898074865341187,0.8014103174209595,-0.2088800072669983,0.0,-0.007460000459104776,0,,1
598,2026-05-29 16:14:39.862,70,339,52,6.239999771118164,2321.760009765625,239.8485565185547,-1.005827784538269,1.1197417974472046,0.10413020104169846,0.5369000434875488,1.4862691164016724,0.9649649858474731,0.23008236289024353,0.9898074865341187,0.7975680828094482,-0.2088800072669983,0.0,-0.008033846504986286,0,,1
